Generation,Time Seconds,Best Fitness,Avg Fitness,Best Speed,Average Speed,Best Vision,Average Vision,Best Age,Average Age,Best Food Eaten,Average Food Eaten
1,1509.0,120.27,17.93,3.95,2.12,288.88,192.69,1509.0,488.5,8,0.32
2,1916.33,155.39,48.85,3.87,2.57,273.83,216.39,1916.33,687.75,7,1.79
3,2067.33,247.16,52.02,3.92,2.68,235.23,201.01,2067.33,725.49,13,1.88
4,2289.0,237.31,61.15,3.98,3.84,225.38,218.24,2289.0,693.4,12,2.29
5,1598.67,223.3,58.85,4,3.84,228.32,218.27,1598.67,692.01,12,2.18
6,2159.33,227.95,60.64,4.0,3.83,233.21,220.5,2159.33,698.21,11,2.3
7,2169.33,271.1,62.63,4,3.85,234.94,223.36,2169.33,681.55,15,2.42
8,1878.33,243.78,64.31,4,3.88,237.68,220.28,1878.33,687.98,13,2.46
9,2036.0,238.12,68.86,4,3.79,226.87,219.27,2036.0,743.94,13,2.55
10,1588.0,194.76,59.68,4,3.81,231.51,218.93,1588.0,656.14,9,2.02
11,2921.0,389.38,67.27,4,3.82,229.66,217.6,2921.0,696.41,22,2.46
12,2972.0,355.33,66.69,3.97,3.74,232.02,221.64,2972.0,717.1,17,2.6
13,1963.33,215.26,63.48,4,3.79,235.47,221.93,1963.33,702.28,12,2.33
14,2001.67,197.54,62.54,4,3.74,236.29,224.96,2001.67,703.51,10,2.42
15,1865.0,189.24,68.42,4,3.71,236.0,223.36,1841.67,737.57,10,2.76
16,2029.33,268.4,64.14,3.88,3.72,232.75,222.04,2029.33,691.05,15,2.6
17,1824.67,252.36,68.39,3.9,3.74,228.06,221.8,1824.67,701.13,14,2.83
18,2113.67,216.24,67.15,3.93,3.77,232.26,223.74,2113.67,660.56,10,2.71
19,1387.67,205.91,63.75,4,3.85,228.51,220.29,1387.67,655.71,12,2.48
20,2445.67,331.01,71.93,4,3.87,231.25,222.8,2445.67,679.18,18,2.89
21,1451.33,182.32,71.15,4,3.86,234.58,222.17,1451.33,658.04,9,2.77
22,1827.67,254.5,79.26,4,3.87,235.93,222.47,1827.67,713.5,16,3.09
23,1843.33,234.48,80.7,3.99,3.82,235.86,220.82,1843.33,765.83,11,3.05
24,3977.67,615.44,78.44,4,3.84,240.77,222.68,3977.67,738.74,34,2.92
25,2543.67,424.96,78.33,4,3.87,238.83,222.23,2543.67,703.99,24,3.06
26,1577.33,220.57,78.3,3.99,3.84,239.26,231.53,1577.33,669.09,11,2.91
27,1787.33,274.79,83.48,4,3.87,239.98,230.84,1787.33,700.96,14,3.18
28,2022.33,256.65,82.05,4,3.89,244.79,235.38,2022.33,675.03,11,3.09
29,1546.0,254.13,82.55,4,3.91,246.13,237.55,1546.0,662.42,14,3.12
30,2114.67,314.84,83.8,4,3.87,245.75,238.47,2114.67,681.84,16,3.11
31,1605.67,223.73,85.4,4,3.86,243.79,236.31,1605.67,687.99,13,3.28
32,2914.67,425.81,83.23,4,3.86,245.04,235.92,2914.67,670.58,21,3.22
33,1951.67,278.98,86.56,4,3.86,244.84,239.17,1951.67,698.65,14,3.24
34,1898.67,296.49,88.39,4,3.84,240.88,234.59,1898.67,722.43,16,3.33
35,1796.33,228.24,89.25,4,3.88,242.55,234.35,1796.33,733.85,11,3.31
36,1568.0,245.29,91.34,4,3.86,244.82,235.4,1568.0,752.59,13,3.37
37,2462.33,310.63,95.67,4,3.88,244.1,232.22,2462.33,772.15,14,3.54
38,2111.67,275.87,93.0,4,3.88,244.13,230.65,2111.67,771.27,12,3.29
39,2030.33,254.7,91.73,4,3.93,237.52,228.01,2030.33,758.56,11,3.2
40,3057.67,445.12,97.61,4,3.94,241.12,228.83,3057.67,783.39,21,3.53
41,1722.33,246.63,93.46,4,3.94,243.48,233.74,1722.33,740.07,12,3.42
42,4265.33,586.53,97.22,4,3.95,246.56,237.12,4180.33,760.26,27,3.63
43,3172.67,444.19,100.12,4,3.94,244.99,231.81,3172.67,812.41,20,3.61
44,2061.0,252.41,93.96,4,3.95,242.27,231.59,2061.0,787.45,11,3.23
45,2554.67,362.33,90.4,4,3.93,242.03,228.89,2554.67,760.93,18,3.08
46,2414.33,327.32,100.42,4,3.9,245.83,232.18,2414.33,843.64,15,3.6
47,1696.67,250.29,90.95,4,3.97,238.04,228.07,1696.67,734.42,14,3.29
48,1544.33,253.32,93.34,4,3.96,242.57,230.03,1544.33,749.28,14,3.41
49,2159.0,334.09,93.12,4,3.96,238.2,228.55,2159.0,728.62,18,3.4
50,1441.67,227.75,88.23,4,3.94,241.0,230.69,1441.67,674.26,12,3.33
